R<ID>;S<ID>'s;Formula's;SMILES;k;klo;kup;N
R13;S19 + S111 + S128 -> S22;C2H2N4O4 + C4H4N8O8 + C6H6N12O12 -> C12H12N24O24;[O]N(/N=C/C=N\N([O])[O])[O],[O]N([N][C@H](N(N([O])[O])/C=C/[N]N([O])[O])/C=N/N([O])[O])[O],[O]N([N][C@H]1N(N([O])[O])[C@H]2N(N([O])[O])[C@H]3[CH]N([C@H]1N([C@H]2N3N([O])[O])N([O])[O])N([O])[O])[O]:[O]N(/N=C/[C@H](N([C@H](N(N([O])[O])[CH]/C=N/N([O])[O])/C=N/N([O])[O])N([O])[O])N(N([O])[O])ON(N1[C@H]([N]N([O])[O])[C@H]2N([CH][C@H]3N([C@H]1[C@H](N2N([O])[O])N3N([O])[O])N([O])[O])N([O])[O])[O])[O];2.417632e+10;1.024190e+09;1.152042e+11;1
R13*;S22 -> S19 + S111 + S128;C12H12N24O24 -> C2H2N4O4 + C4H4N8O8 + C6H6N12O12;[O]N(/N=C/[C@H](N([C@H](N(N([O])[O])[CH]/C=N/N([O])[O])/C=N/N([O])[O])N([O])[O])N(N([O])[O])ON(N1[C@H]([N]N([O])[O])[C@H]2N([CH][C@H]3N([C@H]1[C@H](N2N([O])[O])N3N([O])[O])N([O])[O])N([O])[O])[O])[O]:[O]N(/N=C/C=N\N([O])[O])[O],[O]N([N][C@H](N(N([O])[O])/C=C/[N]N([O])[O])/C=N/N([O])[O])[O],[O]N([N][C@H]1N(N([O])[O])[C@H]2N(N([O])[O])[C@H]3[CH]N([C@H]1N([C@H]2N3N([O])[O])N([O])[O])N([O])[O])[O];0.000000e+00;0.000000e+00;9.985774e+12;0
R14;S19 + S111 -> S45 + S103;C2H2N4O4 + C4H4N8O8 -> C4H4N8O8 + C2H2N4O4;[O]N(/N=C/C=N\N([O])[O])[O],[O]N([N][C@H](N(N([O])[O])/C=C/[N]N([O])[O])/C=N/N([O])[O])[O]:[O]N(/N=C/[CH]N([C@H]([N]N([O])[O])/C=N/N([O])[O])N([O])[O])[O],[O]N([N]/C=C/[N]N([O])[O])[O];1.020678e+11;4.323932e+09;4.863702e+11;1
R14*;S45 + S103 -> S19 + S111;C4H4N8O8 + C2H2N4O4 -> C2H2N4O4 + C4H4N8O8;[O]N(/N=C/[CH]N([C@H]([N]N([O])[O])/C=N/N([O])[O])N([O])[O])[O],[O]N([N]/C=C/[N]N([O])[O])[O]:[O]N(/N=C/C=N\N([O])[O])[O],[O]N([N][C@H](N(N([O])[O])/C=C/[N]N([O])[O])/C=N/N([O])[O])[O];1.672778e+11;7.086444e+09;7.971068e+11;1
R15;S19 + S111 -> S103 + S111;C2H2N4O4 + C4H4N8O8 -> C2H2N4O4 + C4H4N8O8;[O]N(/N=C/C=N\N([O])[O])[O],[O]N([N][C@H](N(N([O])[O])/C=C/[N]N([O])[O])/C=N/N([O])[O])[O]:[O]N([N]/C=C/[N]N([O])[O])[O],[O]N([N][C@H](N(N([O])[O])/C=C/[N]N([O])[O])/C=N/N([O])[O])[O];1.020678e+11;4.323932e+09;4.863702e+11;1
R15*;S103 + S111 -> S19 + S111;C2H2N4O4 + C4H4N8O8 -> C2H2N4O4 + C4H4N8O8;[O]N([N]/C=C/[N]N([O])[O])[O],[O]N([N][C@H](N(N([O])[O])/C=C/[N]N([O])[O])/C=N/N([O])[O])[O]:[O]N(/N=C/C=N\N([O])[O])[O],[O]N([N][C@H](N(N([O])[O])/C=C/[N]N([O])[O])/C=N/N([O])[O])[O];0.000000e+00;0.000000e+00;4.295309e+10;0
R16;S19 + S112 -> S94;C2H2N4O4 + C4H4N8O8 -> C6H6N12O12;[O]N(/N=C/C=N\N([O])[O])[O],[O]N([N][C@H](N(N([O])[O])/C=C/[N]N([O])[O])/C=N\N([O])[O])[O]:[O]N([N]/C=C/N([C@H](N([C@H]([N]N([O])[O])/C=N/N([O])[O])N([O])[O])/C=N\N([O])[O])N([O])[O])[O];4.976860e+10;2.108364e+09;2.371557e+11;1
R16*;S94 -> S19 + S112;C6H6N12O12 -> C2H2N4O4 + C4H4N8O8;[O]N([N]/C=C/N([C@H](N([C@H]([N]N([O])[O])/C=N/N([O])[O])N([O])[O])/C=N\N([O])[O])N([O])[O])[O]:[O]N(/N=C/C=N\N([O])[O])[O],[O]N([N][C@H](N(N([O])[O])/C=C/[N]N([O])[O])/C=N\N([O])[O])[O];0.000000e+00;0.000000e+00;1.008664e+11;0
R17;S19 + S113 -> S104;C2H2N4O4 + C4H4N8O8 -> C6H6N12O12;[O]N(/N=C/C=N\N([O])[O])[O],[O]N([N][C@H](N(N([O])[O])/C=C\[N]N([O])[O])/C=N/N([O])[O])[O]:[O]N([N]/C=C\N([C@H](N([C@H]([N]N([O])[O])/C=N/N([O])[O])N([O])[O])/C=N/N([O])[O])N([O])[O])[O];1.672778e+11;7.086444e+09;7.971068e+11;1
R17*;S104 -> S19 + S113;C6H6N12O12 -> C2H2N4O4 + C4H4N8O8;[O]N([N]/C=C\N([C@H](N([C@H]([N]N([O])[O])/C=N/N([O])[O])N([O])[O])/C=N/N([O])[O])N([O])[O])[O]:[O]N(/N=C/C=N\N([O])[O])[O],[O]N([N][C@H](N(N([O])[O])/C=C\[N]N([O])[O])/C=N/N([O])[O])[O];0.000000e+00;0.000000e+00;3.056870e+11;0
