# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H4C6N3O6	HC	H3C4N2O4	H2C3NO2	H6C6N12O12	H6C6N11O10	NO2	
109000        292          8	 190	 1	 1	 1	 1	 94	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H4C6N3O6	HC	H11C13N15O18	H6C6N12O12	H6C6N11O10	NO2	
110000        290          7	 190	 1	 1	 1	 93	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H4C5N2O4	HC2NO2	H6C6N12O12	H6C6N11O10	NO2	
111000        292          6	 191	 1	 1	 93	 3	 3	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
112000        290          4	 192	 94	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H3C2	H2C5N3O6	H6C6N12O12	H6C6N11O10	NO2	H12C12N24O24	
113000        290          7	 191	 1	 1	 92	 2	 2	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
114000        291          4	 192	 93	 3	 3	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
115000        290          4	 192	 94	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
116000        290          4	 192	 94	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H5C6N12O12	H	
117000        291          6	 192	 93	 2	 2	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H5C6N2O4	CNO2	H6C6N12O12	H6C6N11O10	NO2	H12C12N24O24	
118000        290          7	 191	 1	 1	 92	 2	 2	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
119000        290          4	 192	 94	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
120000        290          4	 192	 94	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H4C4NO2	HC3N2O4	H6C6N12O12	H6C6N11O10	NO2	
121000        292          6	 191	 1	 1	 93	 3	 3	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
122000        293          4	 192	 91	 5	 5	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
123000        294          4	 192	 90	 6	 6	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
124000        294          4	 192	 90	 6	 6	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H5C6N12O12	H7C6N12O12	
125000        295          6	 192	 87	 7	 7	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
126000        297          4	 192	 87	 9	 9	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
127000        297          4	 192	 87	 9	 9	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H12C12N24O24	H6C6N10O8	
128000        297          6	 192	 85	 8	 10	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
129000        300          4	 192	 84	 12	 12	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H4C4NO2	HC3N2O4	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O8	
130000        303          7	 190	 2	 2	 84	 11	 13	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H3C4N2O4	H2C3NO2	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O8	
131000        302          7	 191	 1	 1	 84	 11	 13	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H4C4NO2	HC3N2O4	H4C5N2O4	HC2NO2	H6C6N11O10	NO2	H6C6N12O12	H6C6N10O8	
132000        306          9	 190	 1	 1	 1	 1	 14	 16	 81	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H4C6N3O6	HC	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O8	
133000        305          7	 191	 1	 1	 81	 14	 16	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H5C7N2O4	NO2	H4C4NO2	HC3N2O4	H6C6N12O12	H6C6N11O10	H6C6N10O8	
134000        307          8	 189	 1	 17	 2	 2	 82	 12	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H4C4NO2	HC3N2O4	H4C6N3O6	HC	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O8	
135000        310          9	 190	 1	 1	 1	 1	 78	 16	 20	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N13O14	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O8	
136000        307          6	 192	 1	 77	 16	 19	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H4C4NO2	HC3N2O4	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O8	
137000        309          7	 191	 1	 1	 78	 16	 20	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O8	
138000        309          5	 192	 77	 17	 21	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H4C6N3O6	HC	H4C5N2O4	HC2NO2	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O8	
139000        309          9	 190	 1	 1	 1	 1	 79	 15	 19	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O8	
140000        308          5	 192	 78	 16	 20	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O8	
141000        312          5	 192	 74	 20	 24	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H3C3NO2	H2C4N2O4	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O8	H12C12N22O20	
142000        312          8	 191	 1	 1	 74	 18	 24	 2	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H3C3NO2	H2C4N2O4	H6C6N11O10	NO2	H6C6N12O12	H12C12N21O18	H12C12N22O19	O	H6C6N10O8	
143000        315         10	 191	 1	 1	 20	 27	 71	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N11O10	NO2	H6C6N12O12	H12C12N21O18	H12C12N23O22	H6C6N10O8	H2C2N4O4	H4C4N8O8	
144000        314          9	 192	 21	 27	 69	 1	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H4C4NO2	HC3N2O4	H11C13N15O18	H6C6N11O10	NO2	H6C6N12O12	H6C6N11O11	H6C6N10O7	H12C12N23O22	H6C6N10O8	H4C4N8O8	H2C2N4O4	
145000        315         13	 190	 1	 1	 1	 19	 25	 69	 1	 1	 1	 1	 1	 4	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H11C13N15O18	H6C6N11O10	NO2	H6C6N12O12	H6C6N11O11	H6C6N10O7	H12C12N23O22	H6C6N10O8	H4C4N8O8	H2C2N4O4	
146000        317         11	 191	 1	 20	 28	 67	 1	 1	 1	 2	 1	 4	
