t [steps];S0;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31
;C1[N]CN=CN1;C=NC/N=C\NN([O])[O];C=NCN(N([O])[O])C[N]N([O])[O];C=NCN/C=N\N([O])[O];C=NCNC=[N];C=NC[N]C=N;C=NC[N]N([O])[O];C=NN([O])[O];C=N[CH]NN([O])[O];C=[N];N=CN(N([O])[O])CN=C;N=C[N]N([O])[O];O;O=NN(N([O])[O])CN(N([O])[O])CN(N([O])[O])[CH2];O=NN1CN(CN(C1)N([O])[O])N([O])[O];O=NON([O])[O];ON(N1CN(CN(C1)N([O])[O])N([O])[O])[O];ON(N1[CH]N(CN(C1)N([O])[O])N([O])[O])[O];ON=O;[CH2]N=C;[N]=O;[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])[O];[O]N(N1CN=CN(C1)N([O])[O])[O];[O]N(N1CNC=NC1)[O];[O]N(N1C[N]C=NC1)[O];[O]N(N1C[N]CN(C1)N([O])[O])[O];[O]N(N1C[N]C[N]C1)[O];[O]N(N1[CH]NCN(C1)N([O])[O])[O];[O]N(N1[CH]NC[N]C1)[O];[O]N([N]C[N]N([O])[O])[O];[O]N([O])[O];[O]N=O
436000.0;0;0;2;0;1;0;0;9;0;3;1;0;1;1;3;0;0;0;1;0;0;154;2;5;1;17;0;0;1;0;3;38
437000.0;0;0;3;0;0;1;0;9;0;3;1;0;1;1;3;0;0;0;1;0;0;154;2;5;1;16;0;0;1;0;3;38
438000.0;0;0;4;0;0;1;0;9;0;3;1;0;1;1;3;0;0;0;1;0;0;154;2;5;1;15;0;0;1;0;3;38
440000.0;0;0;4;1;0;1;0;9;0;3;1;0;1;1;3;0;0;0;1;0;0;154;1;5;2;15;0;0;0;0;3;39
450000.0;0;1;4;1;0;1;0;9;0;3;1;0;1;1;3;0;0;0;1;0;0;154;1;5;2;14;0;0;0;0;3;40
451000.0;0;0;4;1;0;1;0;9;0;3;1;0;1;1;3;0;0;0;1;0;0;154;1;6;2;14;0;0;0;0;3;40
452000.0;0;0;4;1;0;1;0;9;0;3;1;0;1;1;3;0;0;0;1;0;0;153;1;6;2;14;0;1;0;0;3;41
454000.0;0;0;4;1;0;1;0;9;0;3;1;0;1;1;3;0;0;0;1;0;0;153;1;7;2;14;0;0;0;0;3;42
455000.0;0;0;4;1;0;1;0;9;0;3;1;0;1;1;3;0;0;0;1;0;0;152;1;7;2;15;0;0;0;0;3;43
457000.0;0;0;4;1;0;1;0;9;0;3;1;0;1;1;3;0;0;0;1;0;0;151;1;7;2;16;0;0;0;0;3;44
459000.0;0;0;3;1;0;1;1;10;0;3;1;0;1;1;3;0;0;0;1;0;0;151;1;7;2;16;0;0;0;0;3;44
477000.0;0;0;3;1;0;1;1;10;0;3;1;0;1;0;4;0;0;0;1;0;0;151;1;7;2;16;0;0;0;0;3;45
485000.0;0;0;3;1;0;1;0;11;0;4;1;0;1;0;4;0;0;0;1;0;0;151;1;7;2;16;0;0;0;0;3;45
492000.0;0;0;3;1;0;1;0;11;0;4;1;0;1;0;4;0;0;0;1;0;0;151;1;7;2;15;0;1;0;0;3;45
493000.0;0;0;3;1;0;1;0;11;0;4;1;0;1;0;4;0;0;0;1;0;0;151;1;8;2;15;0;0;0;0;3;46
494000.0;0;0;4;1;0;1;0;11;0;4;1;0;1;0;4;0;0;0;1;0;0;151;1;8;2;14;0;0;0;0;3;46
511000.0;0;0;5;1;0;1;0;11;0;4;1;0;1;0;4;0;0;0;1;0;0;151;1;8;2;13;0;0;0;0;3;46
512000.0;0;0;4;1;0;1;0;11;0;4;1;0;1;0;4;0;0;0;1;0;0;151;1;8;2;13;0;1;0;0;3;46
515000.0;0;0;4;1;0;1;0;11;0;4;1;0;1;0;4;0;0;0;1;0;0;150;1;8;2;14;0;1;0;0;3;47
519000.0;0;0;3;1;0;1;1;12;0;4;1;0;1;0;4;0;0;0;1;0;0;149;1;8;2;15;0;1;0;0;3;48
520000.0;0;0;3;1;0;1;0;13;0;5;1;0;1;0;4;0;0;0;1;0;0;149;1;8;2;15;0;1;0;0;3;48
522000.0;0;0;2;1;0;1;1;14;0;5;1;0;1;0;4;0;0;0;1;0;0;149;1;8;2;15;0;1;0;0;3;48
524000.0;0;0;2;1;0;1;1;14;0;5;1;0;1;0;4;0;0;0;1;0;0;149;1;9;2;15;0;0;0;0;3;49
526000.0;0;0;2;1;0;1;1;14;0;5;1;0;1;0;4;0;0;0;1;0;0;148;1;9;2;16;0;0;0;0;3;50
531000.0;0;0;2;1;0;1;1;14;0;5;1;0;1;0;4;0;0;0;1;0;0;147;1;9;2;17;0;0;0;0;3;51
536000.0;0;0;3;1;0;1;1;14;0;5;1;0;1;0;4;0;0;0;1;0;0;147;1;9;2;16;0;0;0;0;3;51
537000.0;0;0;3;1;0;1;0;15;0;6;1;0;1;0;4;0;0;0;1;0;0;147;1;9;2;16;0;0;0;0;3;51
547000.0;0;0;3;1;0;1;0;14;0;7;1;0;1;0;4;0;0;0;1;0;0;147;1;9;2;16;0;0;0;0;3;52
549000.0;0;0;3;1;0;1;0;14;0;7;1;0;1;0;4;0;0;0;1;0;0;146;1;9;2;17;0;0;0;0;3;53
551000.0;0;0;3;1;0;1;0;14;0;7;1;1;1;0;4;0;0;0;2;1;0;146;1;8;3;16;0;0;0;0;3;53
555000.0;0;0;3;1;0;1;0;14;0;7;2;0;1;0;4;0;0;0;2;0;0;146;1;8;3;16;0;0;0;0;3;53
556000.0;0;0;3;1;0;1;0;14;0;7;2;0;1;0;4;0;0;0;2;0;0;145;1;8;3;17;0;0;0;0;3;54
557000.0;0;0;3;1;0;2;0;14;0;7;1;0;1;0;4;0;0;0;2;0;0;145;1;8;3;16;1;0;0;0;3;56
567000.0;0;0;3;1;0;2;0;14;0;7;1;0;1;0;4;0;0;0;2;0;0;144;1;8;3;17;1;0;0;0;3;57
570000.0;0;0;3;1;0;2;0;14;0;7;1;0;1;0;4;0;0;0;2;0;0;144;1;8;3;16;1;1;0;0;3;57
572000.0;0;0;4;1;0;2;0;14;0;7;1;0;1;0;4;0;0;0;2;0;0;144;1;8;3;15;1;1;0;0;3;57
573000.0;0;0;5;1;0;2;0;14;0;7;1;0;1;0;4;0;0;0;2;0;0;144;1;8;3;14;1;1;0;0;3;57
574000.0;0;0;4;1;0;2;0;14;0;7;1;0;1;0;4;0;0;0;2;0;0;144;1;9;3;14;1;1;0;0;3;58
575000.0;0;0;4;1;0;2;0;14;0;7;1;0;1;0;4;0;0;0;2;0;0;144;1;10;3;14;1;0;0;0;3;59
575000.0;0;0;4;1;0;2;0;14;0;7;1;0;1;0;4;0;0;0;2;0;0;144;1;10;3;14;1;0;0;0;3;59
