R<ID>;S<ID>'s;Formula's;SMILES;k;klo;kup;N
R883*;S362 + S483 -> S477;H2N + C2N3O4 -> C2H2N4O4;[NH2],[O]N(C(=C=[N])N([O])[O])[O]:[O]N(C(=C([N])N)N([O])[O])[O];0.000000e+00;0.000000e+00;3.027810e+08;0
R884;S478 + S518 -> S307 + S483;C2HN3O4 + C2H4N3O2 -> C2H5N3O2 + C2N3O4;[O]N(C(=C=N)N([O])[O])[O],[O]N([C]=C(N)N)[O]:ON([C]=C(N)N)[O],[O]N(C(=C=[N])N([O])[O])[O];6.978712e+07;2.956415e+06;3.325473e+08;1
R884*;S307 + S483 -> S478 + S518;C2H5N3O2 + C2N3O4 -> C2HN3O4 + C2H4N3O2;ON([C]=C(N)N)[O],[O]N(C(=C=[N])N([O])[O])[O]:[O]N(C(=C=N)N([O])[O])[O],[O]N([C]=C(N)N)[O];0.000000e+00;0.000000e+00;4.365997e+09;0
R885;S478 + S536 -> S61 + S438;C2HN3O4 + NO2 -> C2HN3O5 + NO;[O]N(C(=C=N)N([O])[O])[O],[O]N=O:N=[C]C(N([O])[O])(N([O])[O])[O],[N]=O;7.650569e+06;3.241036e+05;3.645625e+07;1
R885*;S61 + S438 -> S478 + S536;C2HN3O5 + NO -> C2HN3O4 + NO2;N=[C]C(N([O])[O])(N([O])[O])[O],[N]=O:[O]N(C(=C=N)N([O])[O])[O],[O]N=O;0.000000e+00;0.000000e+00;1.668853e+10;0
R886;S478 -> S520 + S536;C2HN3O4 -> C2HN2O2 + NO2;[O]N(C(=C=N)N([O])[O])[O]:[O]N([C]=C=N)[O],[O]N=O;3.063830e+10;1.852835e+10;4.713715e+10;18
R886*;S520 + S536 -> S478;C2HN2O2 + NO2 -> C2HN3O4;[O]N([C]=C=N)[O],[O]N=O:[O]N(C(=C=N)N([O])[O])[O];7.570843e+06;3.207261e+05;3.607634e+07;1
R887;S479 + S536 -> S362 + S478;C2H3N3O2 + NO2 -> H2N + C2HN3O4;[O]N(C(=C=N)N)[O],[O]N=O:[NH2],[O]N(C(=C=N)N([O])[O])[O];1.241649e+10;5.260041e+08;5.916669e+10;1
R887*;S362 + S478 -> S479 + S536;H2N + C2HN3O4 -> C2H3N3O2 + NO2;[NH2],[O]N(C(=C=N)N([O])[O])[O]:[O]N(C(=C=N)N)[O],[O]N=O;0.000000e+00;0.000000e+00;8.906767e+07;0
R888;S479 -> S70 + S536;C2H3N3O2 -> C2H3N2 + NO2;[O]N(C(=C=N)N)[O]:NC#C[NH],[O]N=O;3.333333e+12;1.412111e+11;1.588389e+13;1
R888*;S70 + S536 -> S479;C2H3N2 + NO2 -> C2H3N3O2;NC#C[NH],[O]N=O:[O]N(C(=C=N)N)[O];0.000000e+00;0.000000e+00;1.219928e+09;0
R889;S480 -> S65 + S447;C2H2N3O4 -> C2HN3O3 + HO;[O]N(C(=C=N)N=O)OO:N=[C][C@]1(O[N]1)N([O])[O],[OH];3.333333e+12;1.412111e+11;1.588389e+13;1
