 ************************ Laplacian bond order matrix ************************
             1             2             3             4             5      
    26    0.00000000    0.00000000    0.00000000    0.00000080    0.00000000
    27    0.00000000    0.00000000    0.00000000    0.00000318    0.00000000
    28    0.00000000    0.00000066    0.00000000    0.00000001    0.00000000
    29    0.00000000    0.00000000    0.00000000    0.00000000    0.00000255
    30    0.00000000    0.00000000    0.00000000    0.00000512    0.00000000
    31    0.00000000    0.00000000    0.00000000    0.00000000    0.00000450
    32    0.00000000    0.00000000    0.00000000    0.00000000    0.00000002
    33    0.00000035    0.00000000    0.59972634    0.00000000    0.00000000
    34    0.00000071    0.00000000    0.00000000    0.00000000    0.00000000
    35    0.00000001    0.00000611    0.00000000    0.00000000    0.00000000
    36    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
            16            17            18            19            20      
     1    0.00000000    0.00003139    0.00000000    0.00002802    0.00000000
     2    0.00000001    0.00000000    0.00000000    0.00000000    0.00000000
     3    0.00000019    0.00000000    0.00000000    0.00000000    0.00000000
     4    0.00000000    0.00000000    0.00000000    0.00000000    0.00000005
     5    0.00000000    0.00001716    0.00000000    0.00000000    0.00000000
     6    0.00000000    0.00000000    0.00000000    0.00003857    0.00000000
     7    0.00000000    0.62060366    0.00000169    0.36272758    0.00000000
     8    0.00000126    0.00000757    0.00000000    0.00000306    0.00000145
     9    0.00000000    0.00000000    0.00000000    0.00000000    0.00000114
    10    0.00000127    0.00000000    0.00000000    0.00000000    0.00000000
    11    0.00000000    0.26651916    0.00000000    0.00001735    0.00000000
    12    0.00000000    0.00000857    0.00000228    0.46999604    0.00000000
    13    0.00000000    0.24275439    0.00000000    0.00000000    0.00000000
    14    0.22312605    0.00000000    0.00001462    0.00000001    0.00000000
    15    0.00000000    0.00000072    0.00000000    0.00000000    0.20937878
    16    1.39078397    0.00000000    0.00000000    0.00000000    0.00000000
    17    0.00000000    1.12996895    0.00000000    0.00001648    0.00000000
    18    0.00000000    0.00000000    1.47019160    0.26416722    0.00000000
    19    0.00000000    0.00001648    0.26416722    1.09700311    0.00000000
    20    0.00000000    0.00000000    0.00000000    0.00000000    1.39414605
    21    0.00000000    0.00000152    0.00000000    0.00000000    0.00000000
    22    0.00000000    0.00000000    0.00000002    0.00000213    0.00000000
    23    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    24    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    25    0.00000000    0.00000430    0.00000000    0.00000000    0.00000000
    26    0.00000000    0.00000000    0.62550778    0.00000326    0.00000000
    27    0.63680851    0.00000000    0.00000000    0.00000000    0.00000003
    28    0.00000000    0.00000000    0.58049798    0.00000339    0.00000000
    29    0.00000000    0.00000000    0.00000000    0.00000000    0.64625766
    30    0.53084668    0.00000000    0.00000000    0.00000000    0.00000000
    31    0.00000000    0.00000000    0.00000000    0.00000000    0.53850693
    32    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    33    0.00000000    0.00000403    0.00000000    0.00000000    0.00000000
    34    0.00000000    0.00000001    0.00000000    0.00000000    0.00000000
    35    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    36    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
            21            22            23            24            25      
     1    0.00000000    0.00000000    0.00000000    0.00000000    0.00000230
     2    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
     3    0.00000000    0.00005432    0.00000001    0.00000000    0.00000000
     4    0.00002506    0.00000000    0.00000000    0.00000000    0.00000000
     5    0.00004102    0.00000000    0.00000000    0.00000001    0.00000000
     6    0.00000000    0.00003413    0.00000002    0.00000000    0.00000000
     7    0.00000000    0.00000000    0.00000000    0.00000000    0.00000052
     8    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
     9    0.49315392    0.00000558    0.00000000    0.00000229    0.00000000
    10    0.00000937    0.51977411    0.00000185    0.00000000    0.00000000
    11    0.51633988    0.00000711    0.00000000    0.00000190    0.00000000
    12    0.00000670    0.50023412    0.00000237    0.00000000    0.00000000
    13    0.00000000    0.00000000    0.00000000    0.00000000    0.55291539
    14    0.00000000    0.00000149    0.00000000    0.00000000    0.00000000
    15    0.00000193    0.00000000    0.00000000    0.00000000    0.00000000
    16    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    17    0.00000152    0.00000000    0.00000000    0.00000000    0.00000430
    18    0.00000000    0.00000002    0.00000000    0.00000000    0.00000000
    19    0.00000000    0.00000213    0.00000000    0.00000000    0.00000000
    20    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    21    1.24134646    0.00000008    0.00000021    0.23176039    0.00000000
    22    0.00000008    1.24344744    0.22328978    0.00000000    0.00000000
    23    0.00000021    0.22328978    1.45703241    0.00000000    0.00000000
    24    0.23176039    0.00000000    0.00000000    1.37670993    0.00000000
    25    0.00000000    0.00000000    0.00000000    0.00000000    0.55293789
    26    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    27    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    28    0.00000000    0.00003468    0.00000000    0.00000000    0.00000000
