# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N23O22	NO2	
1000         96          3	 94	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
356000        104         10	 87	 4	 4	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
357000        104         10	 87	 4	 4	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
358000        105         10	 86	 5	 5	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
359000        104         10	 87	 4	 4	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
360000        104         10	 87	 4	 4	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
361000        104         10	 87	 4	 4	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
362000        104         10	 87	 4	 4	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
363000        104         10	 87	 4	 4	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
364000        104         10	 87	 4	 4	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
365000        104         10	 87	 4	 4	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
366000        104         10	 87	 4	 4	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
367000        105         10	 86	 5	 5	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
368000        106         10	 85	 6	 6	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
369000        105         10	 86	 5	 5	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
370000        105         10	 86	 5	 5	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
371000        105         10	 86	 5	 5	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
372000        107         10	 84	 7	 7	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	H6C6N13O14	H6C6N10O9	N2O3	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
373000        103         11	 83	 5	 1	 1	 1	 4	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
374000        104         10	 84	 5	 5	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
375000        105         10	 86	 5	 5	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H8C8N15O14	H2C2N4O4	H6C6N9O8	N2O	NO3	
376000        105         11	 85	 5	 6	 1	 1	 1	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H8C8N15O14	H2C2N4O4	H6C6N9O8	N2O	NO3	
377000        104         11	 86	 4	 5	 1	 1	 1	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H8C8N15O14	H2C2N4O4	H6C6N9O8	N2O	NO3	
378000        104         11	 86	 4	 5	 1	 1	 1	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H8C8N15O14	H2C2N4O4	H6C6N9O8	N2O	NO3	
379000        104         11	 86	 4	 5	 1	 1	 1	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H8C8N15O14	H2C2N4O4	H6C6N9O8	N2O	NO3	
380000        105         11	 85	 5	 6	 1	 1	 1	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H8C8N15O14	H2C2N4O4	H6C6N9O8	N2O	NO3	
381000        104         11	 86	 4	 5	 1	 1	 1	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H8C8N15O14	H2C2N4O4	H6C6N9O8	N2O	NO3	
382000        104         11	 86	 4	 5	 1	 1	 1	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H8C8N15O14	H2C2N4O4	H6C6N9O8	N2O	NO3	
383000        104         11	 86	 4	 5	 1	 1	 1	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H8C8N15O14	H2C2N4O4	H6C6N9O8	N2O	NO3	
384000        104         11	 86	 4	 5	 1	 1	 1	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H12C12N24O24	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H8C8N15O14	H2C2N4O4	H6C6N9O8	N2O	NO3	
385000        104         11	 2	 83	 5	 6	 1	 1	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H8C8N15O14	H2C2N4O4	H6C6N9O8	N2O	NO3	
386000        105         11	 85	 5	 6	 1	 1	 1	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
387000        105         10	 86	 5	 5	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N13O14	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
388000        104         11	 85	 5	 4	 1	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
389000        105         10	 86	 5	 5	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
390000        105         10	 86	 5	 5	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
391000        105         10	 86	 5	 5	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
392000        106         10	 85	 6	 6	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H6C6N13O14	H2C2N4O4	H6C6N9O8	N2O	NO3	
393000        105         11	 84	 6	 5	 1	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H6C6N13O14	H2C2N4O4	H6C6N9O8	N2O	NO3	
394000        104         11	 85	 5	 4	 1	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H6C6N13O14	H2C2N4O4	H6C6N9O8	N2O	NO3	
395000        104         11	 85	 5	 4	 1	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H6C6N13O14	H2C2N4O4	H6C6N9O8	N2O	NO3	
396000        104         11	 85	 5	 4	 1	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
397000        105         10	 86	 5	 5	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H6C6N14O14	H6C6N10O10	H2C2N4O4	H6C6N9O8	N2O	NO3	
398000        105         12	 84	 5	 5	 1	 1	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
399000        106         11	 86	 4	 5	 1	 2	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
400000        106         11	 86	 4	 5	 1	 2	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
401000        106         11	 86	 4	 5	 1	 2	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
402000        106         11	 86	 4	 5	 1	 2	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
403000        106         11	 86	 4	 5	 1	 2	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
404000        106         11	 86	 4	 5	 1	 2	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
405000        106         11	 86	 4	 5	 1	 2	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
406000        107         11	 85	 5	 6	 1	 2	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
407000        106         11	 86	 4	 5	 1	 2	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
408000        107         11	 85	 5	 6	 1	 2	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H6C6N13O14	H2C2N4O4	H6C6N9O8	N2O	NO3	
409000        105         12	 85	 4	 4	 1	 2	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H6C6N13O14	H2C2N4O4	H6C6N9O8	N2O	NO3	
410000        107         12	 83	 6	 6	 1	 2	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H6C6N13O14	H2C2N4O4	H6C6N9O8	N2O	NO3	
411000        105         12	 85	 4	 4	 1	 2	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H6C6N13O14	H2C2N4O4	H6C6N9O8	N2O	NO3	
412000        105         12	 85	 4	 4	 1	 2	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
413000        106         12	 85	 4	 4	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
414000        106         12	 85	 4	 4	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
415000        106         12	 85	 4	 4	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
416000        106         12	 85	 4	 4	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
417000        107         12	 84	 5	 5	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
418000        106         12	 85	 4	 4	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
419000        106         12	 85	 4	 4	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
420000        106         12	 85	 4	 4	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O9	NO2	H6C6N10O10	N2O3	H6C6N9O7	H12C12N24O24	H6C6N11O10	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
421000        106         13	 85	 1	 4	 1	 2	 1	 1	 3	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
422000        106         12	 85	 4	 4	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
423000        106         12	 85	 4	 4	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
424000        106         12	 85	 4	 4	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
425000        106         12	 85	 4	 4	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N11O10	NO2	H6C6N12O12	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
426000        107         12	 5	 5	 84	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
427000        108         12	 83	 6	 6	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
428000        106         12	 85	 4	 4	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
429000        106         12	 85	 4	 4	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
430000        107         12	 84	 5	 5	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
431000        106         12	 85	 4	 4	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
432000        107         12	 84	 5	 5	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N23O22	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
433000        106         13	 83	 4	 5	 1	 2	 1	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
434000        106         12	 85	 4	 4	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
435000        107         12	 84	 5	 5	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
436000        106         12	 85	 4	 4	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N23O22	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
437000        106         13	 83	 4	 5	 1	 2	 1	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
438000        106         12	 85	 4	 4	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
439000        106         12	 85	 4	 4	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
440000        106         12	 85	 4	 4	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
441000        107         12	 84	 5	 5	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
442000        106         12	 85	 4	 4	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N23O22	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H6C6N11O10	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
443000        107         13	 82	 1	 6	 1	 2	 1	 1	 5	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N23O22	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H6C6N11O10	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
444000        106         13	 83	 1	 5	 1	 2	 1	 1	 4	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N23O22	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H6C6N11O10	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
445000        106         13	 83	 1	 5	 1	 2	 1	 1	 4	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
446000        108         12	 83	 6	 6	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
447000        107         12	 84	 5	 5	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
448000        107         12	 84	 5	 5	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
449000        106         12	 85	 4	 4	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
450000        108         12	 83	 6	 6	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
451000        107         12	 84	 5	 5	 1	 2	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	NO3	H2C2N4O4	H6C6N12O11	H6C6N9O8	N2O	
452000        106         12	 85	 4	 4	 1	 2	 1	 1	 2	 3	 1	 1	 1	
