R<ID>;S<ID>'s;Formula's;SMILES;k;klo;kup;N
R518*;S309 + S318 -> S317 + S323;C2H4N4O4 + C2H3N3O2 -> C2H4N3O2 + C2H3N4O4;ON(/C(=C(/[NH])\N)/N([O])[O])[O],ON(/[C]=C(/[N])\N)[O]:ON(/[C]=C(/[NH])\N)[O],ON(C(=C([NH])[NH])N([O])[O])[O];0.000000e+00;0.000000e+00;4.510075e+12;0
R519;S317 + S479 -> S18 + S460;C2H4N3O2 + CNO -> C2H4N2O2 + CN2O;ON(/[C]=C(/[NH])\N)[O],[O]C#N:N/C=[C]\N(O)[O],[N]=N[C]=O;1.281277e+10;5.427915e+08;6.105499e+10;1
R519*;S18 + S460 -> S317 + S479;C2H4N2O2 + CN2O -> C2H4N3O2 + CNO;N/C=[C]\N(O)[O],[N]=N[C]=O:ON(/[C]=C(/[NH])\N)[O],[O]C#N;0.000000e+00;0.000000e+00;6.013433e+12;0
R520;S317 + S625 -> S309;C2H4N3O2 + NO2 -> C2H4N4O4;ON(/[C]=C(/[NH])\N)[O],[O]N=O:ON(/C(=C(/[NH])\N)/N([O])[O])[O];1.050465e+08;4.450119e+06;5.005642e+08;1
R520*;S309 -> S317 + S625;C2H4N4O4 -> C2H4N3O2 + NO2;ON(/C(=C(/[NH])\N)/N([O])[O])[O]:ON(/[C]=C(/[NH])\N)[O],[O]N=O;4.514673e+09;1.912566e+08;2.151317e+10;1
R521;S317 + S625 -> S313;C2H4N3O2 + NO2 -> C2H4N4O4;ON(/[C]=C(/[NH])\N)[O],[O]N=O:ON(/C(=C(\[NH])/N)/N([O])[O])[O];1.050465e+08;4.450119e+06;5.005642e+08;1
R521*;S313 -> S317 + S625;C2H4N4O4 -> C2H4N3O2 + NO2;ON(/C(=C(\[NH])/N)/N([O])[O])[O]:ON(/[C]=C(/[NH])\N)[O],[O]N=O;0.000000e+00;0.000000e+00;8.733913e+10;0
R522;S317 -> S171;C2H4N3O2 -> C2H4N3O2;ON(/[C]=C(/[NH])\N)[O]:N[C](=C(N=O)O)=N;1.941748e+10;8.225890e+08;9.252754e+10;1
R522*;S171 -> S317;C2H4N3O2 -> C2H4N3O2;N[C](=C(N=O)O)=N:ON(/[C]=C(/[NH])\N)[O];0.000000e+00;0.000000e+00;7.489331e+12;0
R523;S317 -> S334 + S389;C2H4N3O2 -> C2H2N2O2 + H2N;ON(/[C]=C(/[NH])\N)[O]:ON([C]=C=N)[O],[NH2];1.941748e+10;8.225890e+08;9.252754e+10;1
R523*;S334 + S389 -> S317;C2H2N2O2 + H2N -> C2H4N3O2;ON([C]=C=N)[O],[NH2]:ON(/[C]=C(/[NH])\N)[O];0.000000e+00;0.000000e+00;6.347748e+08;0
R524;S319 + S625 -> S312;C9H8N6O8 + NO2 -> C9H8N7O10;ON(/[C]=C(\N[C@]1(C=C(C=C([C]1C)N([O])[O])N([O])[O])N([O])[O])/[NH])[O],[O]N=O:ON(/C(=C(\N[C@]1(C=C(C=C([C]1C)N([O])[O])N([O])[O])N([O])[O])/[NH])/N([O])[O])[O];9.558730e+10;4.049397e+09;4.554896e+11;1
R524*;S312 -> S319 + S625;C9H8N7O10 -> C9H8N6O8 + NO2;ON(/C(=C(\N[C@]1(C=C(C=C([C]1C)N([O])[O])N([O])[O])N([O])[O])/[NH])/N([O])[O])[O]:ON(/[C]=C(\N[C@]1(C=C(C=C([C]1C)N([O])[O])N([O])[O])N([O])[O])/[NH])[O],[O]N=O;0.000000e+00;0.000000e+00;7.489331e+12;0
R525;S320 -> S229 + S477;C2H2NO2 -> C2HNO + HO;ON(C#C)[O]:O=NC#C,[OH];1.612903e+11;6.832796e+09;7.685755e+11;1
R525*;S229 + S477 -> S320;C2HNO + HO -> C2H2NO2;O=NC#C,[OH]:ON(C#C)[O];0.000000e+00;0.000000e+00;1.156429e+10;0
R526;S322 + S495 -> S194 + S230 + S502;C2H5N4O4 + C2H4N4O4 -> H2O + C2H4N4O3 + C2H3N4O4;ON(C(=C(N)N)N([O])[O])[O],[O]N(C(=C(N)N)N([O])[O])[O]:O,O=NC(=C(N)N)N([O])[O],[O]N(C(=C([NH])N)N([O])[O])[O];4.690396e+07;1.987008e+06;2.235053e+08;1
R526*;S194 + S230 + S502 -> S322 + S495;H2O + C2H4N4O3 + C2H3N4O4 -> C2H5N4O4 + C2H4N4O4;O,O=NC(=C(N)N)N([O])[O],[O]N(C(=C([NH])N)N([O])[O])[O]:ON(C(=C(N)N)N([O])[O])[O],[O]N(C(=C(N)N)N([O])[O])[O];0.000000e+00;0.000000e+00;3.932465e+07;0
R527;S322 + S495 -> S310 + S322;C2H5N4O4 + C2H4N4O4 -> C2H4N4O4 + C2H5N4O4;ON(C(=C(N)N)N([O])[O])[O],[O]N(C(=C(N)N)N([O])[O])[O]:ON(/C(=C(\N)/[NH])/N([O])[O])[O],ON(C(=C(N)N)N([O])[O])[O];4.690396e+07;1.987008e+06;2.235053e+08;1
R527*;S310 + S322 -> S322 + S495;C2H4N4O4 + C2H5N4O4 -> C2H5N4O4 + C2H4N4O4;ON(/C(=C(\N)/[NH])/N([O])[O])[O],ON(C(=C(N)N)N([O])[O])[O]:ON(C(=C(N)N)N([O])[O])[O],[O]N(C(=C(N)N)N([O])[O])[O];0.000000e+00;0.000000e+00;2.875865e+09;0
R528;S322 + S499 -> S179 + S389 + S495;C2H5N4O4 + C2H3N4O4 -> C2H2N3O4 + H2N + C2H4N4O4;ON(C(=C(N)N)N([O])[O])[O],[O]N(C(=C(N)[NH])N([O])[O])[O]:N[C]=C(N([O])[O])N([O])[O],[NH2],[O]N(C(=C(N)N)N([O])[O])[O];6.819932e+08;2.889151e+07;3.249812e+09;1
R528*;S179 + S389 + S495 -> S322 + S499;C2H2N3O4 + H2N + C2H4N4O4 -> C2H5N4O4 + C2H3N4O4;N[C]=C(N([O])[O])N([O])[O],[NH2],[O]N(C(=C(N)N)N([O])[O])[O]:ON(C(=C(N)N)N([O])[O])[O],[O]N(C(=C(N)[NH])N([O])[O])[O];0.000000e+00;0.000000e+00;1.604930e+06;0
R529;S322 + S581 -> S179 + S332 + S389;C2H5N4O4 + C2H4N3O2 -> C2H2N3O4 + C2H5N3O2 + H2N;ON(C(=C(N)N)N([O])[O])[O],[O]N([C]=C(N)N)[O]:N[C]=C(N([O])[O])N([O])[O],ON([C]=C(N)N)[O],[NH2];3.940326e+08;1.669253e+07;1.877632e+09;1
R529*;S179 + S332 + S389 -> S322 + S581;C2H2N3O4 + C2H5N3O2 + H2N -> C2H5N4O4 + C2H4N3O2;N[C]=C(N([O])[O])N([O])[O],ON([C]=C(N)N)[O],[NH2]:ON(C(=C(N)N)N([O])[O])[O],[O]N([C]=C(N)N)[O];0.000000e+00;0.000000e+00;4.211324e+07;0
R530;S322 + S581 -> S310 + S332;C2H5N4O4 + C2H4N3O2 -> C2H4N4O4 + C2H5N3O2;ON(C(=C(N)N)N([O])[O])[O],[O]N([C]=C(N)N)[O]:ON(/C(=C(\N)/[NH])/N([O])[O])[O],ON([C]=C(N)N)[O];3.940326e+08;1.669253e+07;1.877632e+09;1
R530*;S310 + S332 -> S322 + S581;C2H4N4O4 + C2H5N3O2 -> C2H5N4O4 + C2H4N3O2;ON(/C(=C(\N)/[NH])/N([O])[O])[O],ON([C]=C(N)N)[O]:ON(C(=C(N)N)N([O])[O])[O],[O]N([C]=C(N)N)[O];0.000000e+00;0.000000e+00;2.917254e+09;0
R531;S322 -> S100;C2H5N4O4 -> C2H5N4O4;ON(C(=C(N)N)N([O])[O])[O]:NC([C](N([O])[O])N(O)[O])[NH];9.124088e+09;3.865268e+08;4.347781e+10;1
R531*;S100 -> S322;C2H5N4O4 -> C2H5N4O4;NC([C](N([O])[O])N(O)[O])[NH]:ON(C(=C(N)N)N([O])[O])[O];0.000000e+00;0.000000e+00;1.497866e+13;0
R532;S322 -> S175;C2H5N4O4 -> C2H5N4O4;ON(C(=C(N)N)N([O])[O])[O]:N[C]([C@](N([O])[O])(N=O)O)N;9.124088e+09;3.865268e+08;4.347781e+10;1
R532*;S175 -> S322;C2H5N4O4 -> C2H5N4O4;N[C]([C@](N([O])[O])(N=O)O)N:ON(C(=C(N)N)N([O])[O])[O];0.000000e+00;0.000000e+00;5.991465e+12;0
