R<ID>;S<ID>'s;Formula's;SMILES;k;klo;kup;N
R17;S15 -> S0 + S51;C6H6N12O11 -> N2 + C6H6N10O11;[N]=N[C@H]([C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N(C=CN2N([O])[O])N([O])[O])N(N([O])[O])[O]:N#N,[O]N(N1[C@H]([CH]N(N([O])[O])[O])N([C@H]2[C@H]1N(C=CN2N([O])[O])N([O])[O])N([O])[O])[O];3.448276e+11;1.212469e+11;7.492723e+11;5
R17*;S0 + S51 -> S15;N2 + C6H6N10O11 -> C6H6N12O11;N#N,[O]N(N1[C@H]([CH]N(N([O])[O])[O])N([C@H]2[C@H]1N(C=CN2N([O])[O])N([O])[O])N([O])[O])[O]:[N]=N[C@H]([C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N(C=CN2N([O])[O])N([O])[O])N(N([O])[O])[O];2.573504e+11;9.048850e+10;5.591941e+11;5
R18;S15 -> S50;C6H6N12O11 -> C6H6N12O11;[N]=N[C@H]([C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N(C=CN2N([O])[O])N([O])[O])N(N([O])[O])[O]:[O]N(N1ON=N[C@H]1[C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N(C=CN2N([O])[O])N([O])[O])[O];6.896552e+10;2.921609e+09;3.286323e+11;1
R18*;S50 -> S15;C6H6N12O11 -> C6H6N12O11;[O]N(N1ON=N[C@H]1[C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N(C=CN2N([O])[O])N([O])[O])[O]:[N]=N[C@H]([C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N(C=CN2N([O])[O])N([O])[O])N(N([O])[O])[O];0.000000e+00;0.000000e+00;1.872333e+12;0
R19;S16 -> S0 + S74;C6H6N11O8 -> N2 + C6H6N9O8;[N]=N[C@H]1[C@H]([N]N([O])[O])N(N([O])[O])[C@H]2N([C@H](N1N([O])[O])[CH]N=C2)N([O])[O]:N#N,[O]N([N]/C=C\N([C@H]1[CH]N=C[C@H](N1N([O])[O])[N]N([O])[O])N([O])[O])[O];1.666667e+12;7.060556e+10;7.941947e+12;1
R19*;S0 + S74 -> S16;N2 + C6H6N9O8 -> C6H6N11O8;N#N,[O]N([N]/C=C\N([C@H]1[CH]N=C[C@H](N1N([O])[O])[N]N([O])[O])N([O])[O])[O]:[N]=N[C@H]1[C@H]([N]N([O])[O])N(N([O])[O])[C@H]2N([C@H](N1N([O])[O])[CH]N=C2)N([O])[O];0.000000e+00;0.000000e+00;1.288593e+12;0
R20;S18 + S72 -> S97;N2O2 + C6H6N10O10 -> C6H6N12O12;[N]N([O])[O],[O]N([N]/C=C\N([C@H]1[CH]N([C@H](N1N([O])[O])/C=N\N([O])[O])N([O])[O])N([O])[O])[O]:[O]N([N][C@H]1N(N([O])[O])[C@H]2[CH]N([C@H]3N([C@H]1N(N([O])[O])[C@H]3N2N([O])[O])N([O])[O])N([O])[O])[O];6.022000e+12;2.551120e+11;2.869584e+13;1
R20*;S97 -> S18 + S72;C6H6N12O12 -> N2O2 + C6H6N10O10;[O]N([N][C@H]1N(N([O])[O])[C@H]2[CH]N([C@H]3N([C@H]1N(N([O])[O])[C@H]3N2N([O])[O])N([O])[O])N([O])[O])[O]:[N]N([O])[O],[O]N([N]/C=C\N([C@H]1[CH]N([C@H](N1N([O])[O])/C=N\N([O])[O])N([O])[O])N([O])[O])[O];0.000000e+00;0.000000e+00;4.335358e+10;0
R21;S19 + S96 + S102 -> S93;N2O + C6H6N12O12 + C6H6N9O8 -> C12H12N23O21;[N]N=O,[O]N([N][C@H]1N(N([O])[O])[C@H]2N(N([O])[O])[C@H]3[CH]N([C@H]1N([C@H]2N3N([O])[O])N([O])[O])N([O])[O])[O],[O]N([N][C@H]1[CH]N(N([O])[O])[C@H]2N([C@H](N1N([O])[O])C=N[CH]2)N([O])[O])[O]:[O]N([N][C@H]1N(N([O])[O])[C@H]2C=N[CH][C@H](N([C@H]1/N=N/ON([C@H]1N(N([O])[O])[C@H]3N(C=CN([C@H]1N([C@H]3[N]N([O])[O])N([O])[O])N([O])[O])N([O])[O])N([O])[O])N([O])[O])N2N([O])[O])[O];1.208816e+12;5.120948e+10;5.760212e+12;1
R21*;S93 -> S19 + S96 + S102;C12H12N23O21 -> N2O + C6H6N12O12 + C6H6N9O8;[O]N([N][C@H]1N(N([O])[O])[C@H]2C=N[CH][C@H](N([C@H]1/N=N/ON([C@H]1N(N([O])[O])[C@H]3N(C=CN([C@H]1N([C@H]3[N]N([O])[O])N([O])[O])N([O])[O])N([O])[O])N([O])[O])N([O])[O])N2N([O])[O])[O]:[N]N=O,[O]N([N][C@H]1N(N([O])[O])[C@H]2N(N([O])[O])[C@H]3[CH]N([C@H]1N([C@H]2N3N([O])[O])N([O])[O])N([O])[O])[O],[O]N([N][C@H]1[CH]N(N([O])[O])[C@H]2N([C@H](N1N([O])[O])C=N[CH]2)N([O])[O])[O];0.000000e+00;0.000000e+00;2.995732e+13;0
