t [steps];S0;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S36;S37;S38;S39;S40;S41;S42;S43;S44;S45;S46;S47;S48;S49;S50;S51;S52;S53;S54;S55
;C#N;C1[N]CN=CN1N=O;C=NCN(N(O)[O])/C=N\N1C=NCN(C1)N([O])[O];C=NCN(N([O])[O])C/N=N/ON([O])[O];C=NCN(N([O])[O])C[N]N([O])[O];C=NCN(N([O])[O])[CH2];C=NCN(N([O])[O])[CH]NN([O])[O];C=NCN(N([O])[O])[CH]NN1C=NCN(C1)N([O])[O];C=NCN=CN=N[O];C=NCNN([O])[O];C=NC[N]N([O])[O];C=NN([O])[O];C=[N];N#N;N=CN(N([O])[O])CN=C;O=NN1C=NCN(C1)N([O])[O];O=NN1CN(CN(C1)N([O])[O])N([O])[O];O=NN1C[N]CN(C1)N([O])[O];O=NN1[CH]N(CN(C1)N([O])[O])N([O])[O];O=NO[C@]1(C=C(C=C([C]1C)N([O])[O])N([O])[O])N([O])[O];ON(N1[CH]N(CN(C1)N([O])[O])N([O])[O])[O];ON=O;[CH2]N=C;[CH2]NN([O])[O];[CH]=NCN(N([O])[O])CNN([O])[O];[H];[OH];[O]N(/N=C\NCN(N([O])[O])[CH2])[O];[O]N(C1=C(C)C(=C[C@]([CH]1)(ON(c1cc(cc(c1C)N([O])[O])N([O])[O])[O])N([O])[O])N([O])[O])[O];[O]N(C1=CC(=C([C@]([CH]1)([O])N([O])[O])C)N([O])[O])[O];[O]N(C1=C[C](C(=C([CH]1)N([O])O)C)N([O])[O])[O];[O]N(C1=C[C](C(=C([CH]1)N([O])[O])C)N([O])[O])[O];[O]N(N/C=N\N([O])[O])[O];[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])ON1CN(CN(C1)N([O])[O])N([O])[O];[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])O[C@]1([CH]C(=CC(=C1C)N([O])[O])N([O])[O])N([O])[O];[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])[O];[O]N(N1CN=CN(C1)N([O])[O])[O];[O]N(N1CNC=NC1)[O];[O]N(N1C[N]C=NC1)[O];[O]N(N1C[N]CN(C1)N([O])[O])[O];[O]N(N1[CH]NCN(C1)N([O])[O])[O];[O]N(OC1=C(C)[C](C=C([CH]1)N([O])[O])N([O])[O])[O];[O]N(ON(N1CN(CN(C1)N([O])[O])N([O])[O])[O])[O];[O]N(ON(N1C[N]CN(C1)N([O])[O])[O])[O];[O]N(ON([C]1C=C([CH]C(=C1C)N([O])[O])N([O])[O])[O])[O];[O]N(O[N]N1C[N]CN(C1)N([O])[O])[O];[O]N([C]1C=C(N([O])[O])[C](C(=C1)N([O])O)C)[O];[O]N([C]1C=C(N([O])[O])[C](C(=C1)N([O])[O])C)[O];[O]N([N]/C=N\CN(N([O])[O])[CH2])[O];[O]N([N]CN(N([O])[O])[CH2])[O];[O]N([O])[O];[O]N(c1cc(N([O])[O])c(c(c1)N(O)[O])C)[O];[O]N(c1cc(N([O])[O])c(c(c1)N([O])[O])C)[O];[O]N1CN(CN(C1)N([O])[O])N([O])[O];[O]N=O;[O]N[O]
249000.0;0;0;0;0;5;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;160;0;4;1;18;2;0;0;0;0;0;0;28;0;0;1;0;133;0;35;0
250000.0;0;0;0;0;5;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;160;0;5;1;18;1;0;0;0;0;0;0;28;0;0;1;0;133;0;36;0
251000.0;0;0;0;0;4;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;160;0;7;1;18;0;0;0;0;0;0;0;28;0;0;1;0;133;0;38;0
252000.0;0;0;0;0;4;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;158;0;7;1;20;0;0;0;0;0;0;0;28;0;0;1;0;133;0;40;0
259000.0;0;0;0;0;5;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;158;0;7;1;19;0;0;0;0;0;0;0;28;0;0;1;0;133;0;40;0
262000.0;0;0;0;0;4;0;0;0;0;0;1;3;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;158;0;7;1;19;0;0;0;0;0;0;0;28;0;0;1;0;133;0;40;0
263000.0;0;0;0;0;4;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;158;0;7;1;19;0;0;0;0;0;1;0;28;0;0;1;0;133;0;39;0
264000.0;0;0;0;1;4;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;158;0;7;1;19;0;0;0;0;0;0;0;28;0;0;1;0;133;0;39;0
269000.0;0;0;0;0;4;1;0;0;0;0;1;3;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;158;0;7;1;19;0;0;0;0;0;0;0;28;0;0;2;0;133;0;39;0
275000.0;0;0;0;0;4;1;0;0;0;0;1;3;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;157;0;7;1;20;0;0;0;0;0;0;0;28;0;0;2;0;133;0;40;0
282000.0;0;0;0;0;4;1;0;0;0;0;1;3;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;156;0;7;1;21;0;0;0;0;0;0;0;28;0;0;2;0;133;0;41;0
286000.0;0;0;0;0;4;0;0;0;0;0;1;4;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;31;0;0;0;156;0;7;1;21;0;0;0;0;0;0;0;28;0;0;2;0;133;0;41;0
288000.0;0;0;0;0;4;0;0;0;0;0;1;4;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;31;0;0;0;155;0;7;1;22;0;0;0;0;0;0;0;28;0;0;2;0;133;0;42;0
290000.0;0;0;0;0;5;0;0;0;0;0;1;4;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;31;0;0;0;155;0;7;1;21;0;0;0;0;0;0;0;28;0;0;2;0;133;0;42;0
295000.0;0;0;0;0;5;0;0;0;0;0;1;4;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;31;0;0;0;154;0;7;1;22;0;0;0;0;0;0;0;28;0;0;2;0;133;0;43;0
299000.0;0;0;0;0;6;0;0;0;0;0;1;4;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;31;0;0;0;151;0;7;1;23;0;0;0;0;0;0;0;28;0;0;2;0;133;0;45;0
300000.0;0;0;0;0;5;0;0;0;0;0;1;4;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;31;0;0;0;151;0;7;1;24;0;0;0;0;0;0;0;28;0;0;2;0;133;0;45;0
302000.0;0;0;0;0;5;0;0;0;0;0;1;4;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;31;0;0;0;149;0;7;1;24;1;0;0;0;0;0;0;28;1;0;2;0;133;0;46;1
303000.0;0;0;0;0;5;0;0;0;0;0;1;4;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;31;0;0;0;149;1;7;1;24;1;0;0;0;0;0;0;28;0;0;2;0;133;0;46;1
306000.0;0;0;0;0;5;0;0;0;0;0;1;4;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;31;0;0;0;149;1;8;1;24;0;0;0;0;0;0;0;28;0;0;2;0;133;0;47;1
313000.0;0;0;0;0;4;0;0;0;0;0;1;6;2;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;31;0;0;0;149;1;8;1;24;0;0;0;0;0;0;0;28;0;0;2;0;133;0;47;1
316000.0;0;0;0;0;4;0;0;0;0;0;2;5;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;31;0;0;0;149;1;8;1;24;0;0;0;0;0;0;0;28;0;0;2;0;133;0;47;1
321000.0;0;0;0;0;5;0;0;0;0;0;2;5;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;31;0;0;0;149;1;8;1;23;0;0;0;0;0;0;0;28;0;0;2;0;133;0;47;1
322000.0;0;0;0;0;4;0;0;0;0;0;2;5;1;1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0;31;0;0;0;149;1;8;1;23;0;0;0;0;0;0;0;28;0;0;2;0;133;0;47;1
326000.0;1;0;0;0;4;0;0;0;0;0;2;6;1;1;0;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;31;0;0;0;149;1;8;1;23;0;0;0;0;0;0;0;28;0;0;2;0;133;0;48;1
327000.0;1;0;0;0;4;0;0;0;0;1;1;6;2;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;31;0;0;0;149;1;8;1;23;0;0;0;0;0;0;0;28;0;0;2;0;133;0;49;1
331000.0;1;0;0;0;4;0;0;0;0;1;1;6;2;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;31;0;0;0;148;1;8;1;24;0;0;0;0;0;0;0;28;0;0;2;0;133;0;50;1
334000.0;1;0;0;0;4;0;0;0;0;1;0;7;3;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;31;0;0;0;148;1;8;1;24;0;0;0;0;0;0;0;28;0;0;2;0;133;0;50;1
336000.0;1;0;0;0;4;0;0;0;0;1;0;7;3;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;31;0;0;0;147;1;8;1;25;0;0;0;0;0;0;0;28;0;0;2;0;133;0;51;1
339000.0;1;0;0;0;5;0;0;0;0;1;0;7;3;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;31;0;0;0;146;1;8;1;25;0;0;0;0;0;0;0;28;0;0;2;0;133;0;52;1
341000.0;1;0;0;0;4;0;0;0;0;1;1;8;3;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;31;0;0;0;146;1;8;1;25;0;0;0;0;0;0;0;28;0;0;2;0;133;0;52;1
344000.0;1;0;0;0;4;0;0;0;0;1;1;8;3;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;31;0;0;0;145;1;8;1;26;0;0;0;0;0;0;0;28;0;0;2;0;133;0;53;1
350000.0;1;0;0;0;4;0;0;0;0;1;1;8;3;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;31;0;0;0;144;1;8;1;27;0;0;0;0;0;0;0;28;0;0;2;0;133;0;54;1
